Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1455 b,0.0,0.0,0.005,0.19,0.016172,382.0,321.0,3.032,49.2768,3.696,12.9,392.0,4075.0,4.68,True,exoplanets.org
Kepler-1456 b,0.0,0.0,0.004,0.1,0.004689,559.0,470.0,3.048,18.1374,3.5496,12.7,379.0,4231.0,4.67,True,exoplanets.org
Kepler-267 c,0.0,0.0,0.008,0.19,0.015872,683.0,574.0,3.037,6.8774,1.35,12.5,,4258.0,4.729,True,exoplanets.org
Kepler-1457 b,0.0,0.0,0.005,0.18,0.014734,649.0,546.0,3.062,51.111,7.987,12.5,728.0,5866.0,4.43,True,exoplanets.org
Kepler-1458 b,0.0,0.0,0.007,0.25,0.023026,622.0,523.0,2.975,47.9873,4.7561,12.5,642.0,5653.0,4.48,True,exoplanets.org
Kepler-1459 b,0.0,0.0,0.003,0.12,0.008429,446.0,375.0,3.154,62.8692,5.778,12.4,435.0,4828.0,4.61,True,exoplanets.org
Kepler-267 d,0.0,0.0,0.008,0.2,0.017182,425.0,358.0,3.016,28.4645,2.742,12.5,,4258.0,4.729,True,exoplanets.org
Kepler-1460 b,0.0,0.0,0.003,0.17,0.014466,506.0,426.0,3.068,29.9633,2.6321,13.4,574.0,4422.0,4.64,True,exoplanets.org
Kepler-1461 b,0.0,0.0,0.004,0.18,0.015008,584.0,491.0,3.055,29.3495,4.207,13.5,752.0,4919.0,4.6,True,exoplanets.org
Kepler-1462 b,0.0,0.0,0.005,0.34,0.046067,584.0,491.0,2.992,65.6488,7.4309,14.1,1368.0,5756.0,4.45,True,exoplanets.org
Kepler-283 c,0.0,0.0,0.004,0.16,0.013404,296.0,249.0,3.1,92.7437,6.279,13.1,,4351.0,4.721,True,exoplanets.org
Kepler-1463 b,0.0,0.0,0.002,0.17,0.013699,779.0,655.0,3.091,25.1586,5.1792,14.0,1341.0,5679.0,4.47,True,exoplanets.org
Kepler-1464 b,0.0,0.0,0.004,0.15,0.012301,755.0,635.0,3.144,31.7786,8.0561,12.5,692.0,5828.0,4.44,True,exoplanets.org
